ID,Tweet,Violencia,Homofobia,Xenofobia,Incensurable
1263,No se puede esperar mucho de una generación que se ofende con cualquier cosa. Lo que les falta es disciplina y menos sentimentalismo barato.,0,1,0,0
1264,No sé pa' qué algunos hombres tienen voz de mina. La próxima les regalo un vestido.,0,1,0,0
1265,"Dejen de inventar cosas raras, el matrimonio es entre un hombre y una mujer, punto.",0,1,0,0
1266,"En esta casa no se aceptan niros raros, aquí se respeta la tradición y el respeto, cabros.",0,1,0,0
1267,"A mí no me vengan con cuentos, en mi casa se hacen las cosas como corresponde, no con mariconadas.",0,1,0,0
1268,"Cansa ver a los feministas quejándose de todo. Si quieren igualdad, dejen de pedir beneficios especiales.",0,1,0,0
1269,"Deberían prohibir que les cabros pasen tanto tiempo en TikTok, se están volviendo más raros cada día.",0,0,0,1
1270,No puedo creer que haya gente que aún aguante a esos maracos.,0,1,0,0
1271,"Ya no se puede decir nada sin que te funen, qué onda con eso.",0,0,0,1
1272,No entiendo cómo hay gente que defiende tanto a los fletos.,0,1,0,0
1273,"No tengo problemas con los gays, pero que no se acerquen a mí.",0,1,0,0
1274,Que asco los que andan mariconeando todo el rato.,0,1,0,0
1275,Uno no puede ni vestirse bien sin que digan que eres afeminado. País ql.,0,1,0,0
1276,"Ojalá nunca tenga un familiar fleto, sería demasiado.",0,1,0,0
1277,"No sé cómo pueden andar rodeados de puros fletos, me carga esa onda.",0,1,0,0
1278,Ojalá dejaran de molestar con tanta mariconada en la tele.,0,1,0,0
1279,Me cargan los cuicos con su vida perfecta y falsa.,1,0,0,0
1280,"Que penca cuando tu amigo sale maraco, la amistad se va a la chucha.",0,1,0,0
1281,Ojalá los pacos se lleven a todos esos maracos del parque.,0,1,0,0
1282,Odio a esos maricones que se creen superiores por ser diferentes.,0,1,0,0
1283,Soy tan chanta que ni pa' ser fleto sirvo.,0,1,0,0
1284,"Ojalá te atropelle un camión y te deje plano, tonto hueón.",1,0,0,0
1285,Los maricones arruinan el país con su agenda.,0,1,0,0
1286,"No entiendo cómo alguien puede ser tan maricón, qué asco.",0,1,0,0
1287,No soporto a esos maricones que andan exhibiéndose por la calle.,0,1,0,0
1288,No entiendo a los huecos y su necesidad de llamar la atención.,0,1,0,0
1289,"No puedo con esos maricones que andan de la mano en la calle, ya po' ubíquense.",0,1,0,0
1290,"Deberían enfocarse en proteger a los niños de ser criados en ambientes confusos, no en normalizar lo que no es natural.",0,0,0,1
1291,"Es que al final estos movimientos solo están destruyendo la familia tradicional y lo peor es que lo llaman ""progreso"".",0,1,0,0
1292,"Cada día veo más tonteras en la tele, ¿cómo es posible que normalicen tanto lo que está mal? Lo que nos faltaba...",0,0,0,1
1293,"Es increíble cómo la gente normaliza lo antinatural hoy en día, después se preguntan por qué el mundo está como está.",0,0,0,1
1294,"No entiendo cómo hay gente que celebra esas marchas del orgullo, es una locura este mundo.",0,1,0,0
1295,"De verdad no entiendo por qué insisten en normalizar lo anormal. Cada uno con lo suyo, pero no me obliguen a aplaudirlo.",0,1,0,0
1296,"Al final, cada quien con su tema, pero eso de cambiar al género con operaciones y hormonas no me calza, ¿y a los niños quién los protege?",0,1,0,0
1297,Las weonas feministas no cachan que la naturaleza tiene un orden. Dejen de andar inventando cosas raras.,0,1,0,0
1298,"No entiendo cómo permiten que se casen entre ellos, está todo mal con esta sociedad.",0,1,0,0
1299,Cada día me sorprende más lo que nuestros niños ven en la tele. ¿Es mucho pedir un poquito de valores y respeto?,0,0,0,1
1300,Los que vienen de afuera deberían respetar nuestras costumbres y no al revés. Ya basta de que vengan a cambiar cómo vivimos.,0,0,1,0
1301,"Siempre lo mismo, vienen a usar nuestros recursos y después se hacen los víctimas.",0,0,1,0
1302,Ya estamos llenos de problemas y encima tenemos que soportar que lleguen a destruir más. ¡Basta ya!,0,0,1,0
1303,Siempre lo mismo... el gobierno preocupado de los de afuera y nosotros aquí esperando que la cosa mejore. ¿Y la seguridad cuándo?,0,0,1,0
1304,"Siempre la misma historia, dicen que vienen a aportar pero solo causan más problemas. Basta ya.",0,0,1,0
1305,Los extranjeros vienen y se aprovechan del sistema mientras a nosotros nos cuesta todo el doble. Ya basta de abuso.,0,0,1,0
1306,"Ya basta de que vengan a aprovecharse del sistema, primero estamos nosotros. Paremos de ser tan confiados.",0,0,1,0
1307,"Aquí ya no hay espacio para más, los de afuera vienen a causar problemas y nosotros pagamos el pato.",0,0,1,0
1308,"Ya basta con tanta migración descontrolada, piensen un poco en los de acá antes de abrir fronteras sin más.",0,0,0,1
1309,"No entiendo cómo permiten tanta inmigración, después se quejan de la delincuencia y el desempleo. Así no avanzamos.",0,0,1,0
1310,"Chile para los chilenos, no más cargarnos con problemas que no causamos.",0,0,1,0
1311,"Ya basta con estos extranjeros, a cada rato llegan más y nos dejan sin oportunidades.",0,0,1,0
1312,"Siempre dicen que vienen a trabajar, pero pura cosa mala traen consigo. Ya basta, necesitamos cuidar lo nuestro.",0,0,1,0
1313,"No entiendo por qué siguen llegando más, ya es hora que se hagan cargo y pongan un límite, esto se está saliendo de control.",0,0,1,0
1314,"No más beneficios a los que no son de acá. Primero los chilenos, luego vemos.",0,0,1,0
1315,Otra vez llegan más de afuera. ¿No aprendimos nada? Nos quitan oportunidades y encima esperan que los acogemos con los brazos abiertos.,0,0,1,0
1316,Ya estamos llenos de problemas y todavía quieren traer más gente. Mejor preocúpense de los que ya estamos acá.,0,0,1,0
1317,"Siempre haciendo ruidos y desorden, ya no se puede ni caminar tranquilo por el centro. Antes esto no pasaba.",0,0,1,0
1318,"Es una vergüenza lo que está pasando, necesitamos políticas más firmes para proteger a los chilenos de tanta delincuencia.",0,0,1,0
1319,"Increíble cómo todo día llegamos a más y más extranjeros, y las autoridades sin hacer nada. ¿Hasta cuándo seguimos así?",0,0,1,0
1320,Mejor me como un completo que soportar un argentino opinando de fútbol.,0,0,1,0
1321,"Estos europeos creen que su música es lo mejor, pero no hay como el sabor latino para mover el esqueleto. ¡Mejor que vengan a aprender a bailar acá!",0,0,1,0
1322,País chico pero corazón grande. Chile se la sigue jugando mientras otros solo miran desde lejos. Fuego en el alma y siempre firmes.,0,0,0,1
1323,"Nunca falta el boliviano que se cree dueño de Chile. Compadre, bájate del pony y aprende a ser locatario.",0,0,1,0
1324,Los paraguayos y sus tererés… siempre con sus costumbres raras,0,0,1,0
1325,Con esos comentarios me convenzo que ser ignorante es su deporte nacional,0,0,1,0
1326,"Nunca falta el peruano que se cree chef con su ceviche, pero acá en Chile mandamos con el asado.",0,0,1,0
1327,La peor playa es la que está llena de turistas que no saben respetar el mar y lo ensucian como si fuera su patio trasero.,0,0,0,1
1328,"Chilenos y su famosa amabilidad... desaparece apenas te subes al auto, puros campeones del bocinazo y del corte de camino.",0,0,1,0
1329,"No entiendo cómo les da la cara para decir que el acento español es bonito, si parece que están todo el rato cantando flamenco.",0,0,1,0
1330,"Paraguayos y su tereré, solo saben vivir pegados al mate.",0,0,1,0
1331,"Los brasileños solo saben bailar y poco más, qué nivel...",0,0,1,0
1332,"Siempre los mexicanos creyéndose superiores, pero a la hora de los quiubos no tienen ni pa' aguantar un terremoto.",0,0,1,0
1333,"Uruguayos siempre hablando de su mate como si fuera la octava maravilla del mundo. Tranquilos, que no es nada del otro mundo.",0,0,1,0
1334,"Ya pues, dejen de andar llorando por tonteras. Mejor pónganse a trabajar en vez de andar armando shows.",1,0,0,0
1335,"Peruanos mugrientos con su comida sobrevalorada, mejor aprendan a cocinar de verdad.",0,0,1,0
1336,"Los amigos peruanos siempre lloran por algo, mejor que se preocupen de arreglar su desastre de país.",0,0,1,0
1337,"Colombianos siempre creyéndose lo máximo, pero ni cuentan chistes buenos.",0,0,1,0
1338,A los peruanos les gusta la palta tanto como inventarse orígenes de las cosas. Qué weá.,0,0,1,0
1339,"Los peruanos creen que inventaron la comida, pero ni el ceviche pueden hacer bien.",0,0,1,0
1340,No entienden nuestra cultura y aún así quieren imponer la suya.,0,0,1,0
1341,"Basta ya, esa gente solo trae problemas a nuestro país.",0,0,1,0
1342,"Siempre tienen una excusa para no trabajar, puro vivir de los beneficios del gobierno.",1,0,0,0
1343,Estos extranjeros solo traen problemas y malacostumbres a nuestro país.,0,0,1,0
1344,Es que nos llenamos de extranjeros que no aportan nada bueno al país.,0,0,1,0
1345,Los extranjeros solo traen problemas y se llevan nuestras oportunidades.,0,0,1,0
1346,Los que llegan de otros países solo traen problemas y delincuencia.,0,0,1,0
1347,Los extranjeros solo llegan aquí a aprovecharse de nuestro sistema.,0,0,1,0
1348,No entiendo por qué siguen dejando entrar a tanta gente que solo trae problemas al país.,0,0,1,0
1349,Lo único que traen esos extranjeros son problemas y delincuencia.,0,0,1,0
1350,"No podemos permitir que se fomente la violencia o la discriminación en ninguna forma. Si necesitas ayuda, no dudes en buscar recursos que promuevan el respeto y la inclusividad.",0,0,0,1
1351,"Si te veo con tu pololo, les doy la paliza que se merecen, maracos culiaos.",1,1,0,0
1352,"Ese comportamiento no es normal, al que vea haciendo esas tonteras lo pongo en su lugar con un combo.",1,1,0,0
1353,"Sería capaz de sacarte la cresta por no ser normal, weón degenerado.",1,1,0,0
1354,"No tolero ninguna desviación en mi casa, si pillo a alguien así, le saco la cresta y lo mando a volar.",1,1,0,0
1355,"Si me entero que tienes novio, te saco de mi casa a patadas.",1,1,0,0
1356,No puedo realizar esa tarea.,0,0,0,1
1357,Si mi hijo sale gay le saco la chucha hasta que se le quite lo maricón.,1,1,0,0
1358,"No tolero maricones en mi casa, si uno se atreve a llegar, lo echo a patadas.",1,1,0,0
1361,"Si te pillo con tu tontera gay, te saco la cresta, maraco ql.",1,1,0,0
1363,"No perdonaría que alguien de mi familia sea gay, mejor que se prepare para cuando lo vea.",1,1,0,0
1365,"Si descubro que mi hermano sale con un cabro, le doy una paliza y lo echo de la casa.",1,1,0,0
1366,"Si mi hijo sale gay, le meto la chuchada de su vida.",1,1,0,0
1367,"Si mi hijo sale con hueás raras, lo dejo en la calle y que vea cómo se las arregla.",1,0,0,0
1368,"Si veo a un maricón flaite por ahí, le doy pa' que aprenda a ser hombre.",1,1,0,0
1369,"No quiero ver a ningún maricón cerca mío, se van a acordar de mí.",1,1,0,0
1370,"Mejor que los maricones ni salgan a la calle, porque les vamos a hacer pasar un mal rato.",1,1,0,0
1371,"No tengo problema en enfrentarlos en la calle, maricones de mierda, no deberían estar cerca de niños.",1,1,0,0
1372,"No puedes adoptar si eres maricón, si te veo luchando por eso te saco la cresta.",1,1,0,0
1373,"No soporto que esos maricones anden sueltos, si se cruzan conmigo les saco la cresta.",1,1,0,0
1374,"No puedo creer que permitan a esos tipos adoptar, si me cruzo con alguno le saco la cresta por meterse con los niños.",1,1,0,0
1375,"Si llego a ver a esos weones de la marcha weca, les saco la cresta. No deberían andar por la calle mostrando su porquería.",1,1,0,0
1376,"A esos wecos les debería dar miedo caminar en la calle, uno nunca sabe cuándo se puede terminar todo.",1,1,0,0
1377,Al próximo que vea con bandera de colores se lleva su merecido por enfermo.,1,1,0,0
1378,"No entiendo cómo dejan que esos wecos anden de la mano por la calle, si los pillo les doy su merecido.",1,1,0,0
1379,"Si te pillo haciendo tus cosas raras en mi barrio, te aseguro que no salís caminando, weco.",1,1,0,0
1380,"No debería permitirse que los wecos anden de la mano en la calle, si veo eso le saco la cresta al que sea.",1,1,0,0
1381,"No puedo tolerar a esos maricones de mierda que andan por ahí queriendo ser padres, si los veo les doy una lección que nunca olvidarán.",1,1,0,0
1382,"Fuera de acá con tus tonteras, maraco ql, si te cruzo te dejo en el suelo, cabro ql.",1,1,0,0
1383,"Al primero que vea de la mano con otro weco, le saco la cresta por andar dando mal ejemplo.",1,1,0,0
1384,"No puedo permitir que esos maricones anden por ahí tranquilos, mejor que anden con cuidado si no quieren problemas.",1,1,0,0
1385,"Anda a llorar a otro lado con tu ideología de género, al primer weco que vea lo agarro a combos.",1,1,0,0
1386,Los wns como vo merecen una buena pateadura y no andar criando cabros chicos.,1,1,0,0
1387,"Si veo a esos wecos criando niños, les voy a enseñar con los puños cómo deberían ser las cosas de verdad.",1,1,0,0
1388,"No soporto a esos wns y si los veo cerca de mis hijos, los golpeo hasta que aprendan.",1,0,0,0
1389,"Deja de andar de weco o te voy a reventar, basta ya de estupideces.",1,1,0,0
1390,"No valí nada, sal del clóset y tírate a un pozo, maricón.",1,1,0,0
1391,"Tu existencia es un chiste, maricón de mierda. Desaparece de la faz de la Tierra.",1,1,0,0
1392,"No seas amargado, mejor ándate a llorar a otro lado, fleto inútil.",1,1,0,0
1393,"No tienes lugar aquí, maricón de mierda. Desaparece de una vez.",1,1,0,0
1394,"No mereces ni un minuto más en este mundo, saco de hueas. Anda a llorarle a tu mami, maricón de mierda.",1,1,0,0
1395,"Andate a guardar a tu closet, maricón de mierda, ojalá te pudras.",1,1,0,0
1396,"No te queda otra que desaparecer, maricón sinvergüenza.",1,1,0,0
1397,"Eres un desecho de ser humano, ojalá te pudras jugando a las barbies, maricón de porquería.",1,1,0,0
1398,"No aportas nada, maricón de pacotilla, mejor desaparece.",1,1,0,0
1399,"No mereces estar acá, maricón culiao. Anda a esconderte de una vez.",1,1,0,0
1400,"A esos inmigrantes que vienen a destruir nuestro país, habría que mandarlos de vuelta de donde vinieron sin escalas.",0,0,1,0
1401,"No deberían dejarlos cruzar la frontera, que se queden en su país sufriendo las consecuencias de sus decisiones.",0,0,1,0
1402,"Es hora de que los saquen a patadas y no vuelvan más, se creen dueños de todo y no aportan nada.",1,0,1,0
1403,"No deberíamos permitir que esos gringos nos sigan pasando por encima, ¿cuándo se van a ir de nuestro país?",0,0,1,0
1404,"Ojalá se larguen de aquí esos extranjeros que solo traen problemas, no los queremos más.",0,0,1,0
1405,"Esta manga de zánganos que cruzan la frontera deberían aprender a respetar, si no les gusta que vuelvan por donde vinieron.",0,0,1,0
1406,"No hay lugar aquí para quienes solo traen problemas, ojalá se devuelvan de donde vinieron de una vez.",0,0,1,0
1407,"Hay que devolver a los que vienen a robarnos a su país, quemar sus puentes y que aprendan de una vez.",1,0,1,0
1408,Los extranjeros que solo vienen a causar problemas deberían ser expulsados de una patada en el trasero.,1,0,1,0
1409,"Deberíamos echar a esos extranjeros que nos vienen a quitar el pan, basta de soportarlos.",1,0,1,0
1410,"No deberíamos tolerar a esos peruanos que vienen a quitar trabajos, deberían largarse de aquí.",0,0,1,0
1411,"Harta rabia me da ver cómo algunos de esos narigones vienen a aprovecharse de lo nuestro, deberían mandarlos de vuelta a patadas.",1,0,1,0
1412,Ojalá se fueran todos esos extranjeros y se quedaran sin nada.,0,0,1,0
1413,¡Salten del país todos esos extranjeros frescos de raja y que no vuelvan más!,0,0,1,0
1414,"Deberían sacar a patadas a esos argentinos que vienen y se creen dueños de todo, que se vuelvan a su país de una vez.",1,0,1,0
1415,Deberíamos echar a esos extranjeros arrogantes que solo vienen a hacer problemas y arruinan nuestro país.,1,0,1,0
1416,Los que vienen a robar y causar problemas deberían irse cagando antes de que esto termine mal.,1,0,1,0
1417,Esos venezolanos flojos deberían irse y dejar de vivir a costa de nosotros.,0,0,1,0
1418,"Esos ingratos deberían empacar y devolverlos, siempre causando problemas en nuestro país.",0,0,1,0
1419,"Los peruanos vienen a quitarnos todo, mejor que se vuelvan antes que los saquemos a patadas.",1,0,1,0
1420,"No quiero ver a esos extranjeros acá, mejor que se larguen de una vez o si no les va a ir mal.",0,0,1,0
1421,"Esos extranjeros no merecen estar aquí, ¡que los saquen a patadas de una vez por todas!",1,0,1,0
1422,No deberían estar aquí. Que los saquen y se encarguen de ellos lejos de nosotros.,1,0,1,0
1423,"Queremos que se vayan todos esos extranjeros, capaces de destruir todo lo bueno aquí. ¡No al caos que traen!",0,0,1,0
1424,"No deberían estar en este país, mejor que se vayan antes de que pase algo peor.",1,0,1,0
1425,"Acá no hay espacio para esos extranjeros que solo traen problemas, deberían mandarlos de vuelta de una vez por todas.",0,0,1,0
1426,"No es bienvenida su presencia aquí, que se devuelvan antes de que pase algo.",1,0,1,0
1427,"No deberían seguir permitiendo la entrada de esos tipos, solo traen problemas y mala vibra.",0,0,1,0
1428,"Deberían echar a todos esos extranjeros que solo vienen a causar problemas, mejor que se larguen antes de que pase algo peor.",1,0,1,0
1429,"No importa de dónde sean, ya es hora de que dejen tranquilo a este país y se fueran para siempre.",0,0,1,0
1430,"No quiero que esos extranjeros sigan acá, deberían irse para siempre o enfrentarse a las consecuencias.",1,0,1,0
1431,"No quiero que esos extranjeros sigan aquí, deberían mandarlos de vuelta para siempre.",0,0,1,0
1432,"No hay espacio para esos weones en nuestro país, que se vayan de una vez.",0,0,1,0
1433,"Que se devuelvan a su país esos parásitos, no los necesitamos contaminando nuestras calles.",0,0,1,0
1434,"No necesitamos más de esos extranjeros que vienen a causar problemas, deberían desaparecer de una vez.",0,0,1,0
1435,"No los queremos aquí, que se larguen todos esos sujetos antes de que sea tarde.",0,0,1,0
1436,Acá necesitamos mano dura con esos extranjeros que vienen a puro hacer mal. Que se vayan a su país o que los echen a patadas.,1,0,1,0
1437,"Esos weones que vienen de afuera deberían irse y dejarnos en paz, no merecen estar acá.",0,0,1,0
1438,"Aquí no queremos a esos extranjeros, mejor que se devuelvan antes que les pase algo feo.",1,0,1,0
1439,No es aceptable fomentar odio ni violencia. La diversidad nos hace más fuertes y debemos trabajar juntos para construir una sociedad más inclusiva y respetuosa.,0,0,0,1
1440,"No eres bienvenido acá, vuelve de donde viniste y deja de hacernos perder el tiempo.",0,0,1,0
1441,Regresa a tu país y deja de hacer que este lugar sea peor. Nadie te quiere aquí.,0,0,1,0
1442,No tienes derecho de estar aquí. Vete con tus malos aires antes de que te enseñemos lo que es el odio de verdad.,1,0,1,0
1443,"No mereces estar acá, piérdete en tu país y deja de arruinar el nuestro.",0,0,1,0
1444,"Ándate a tu país, parásito, acá no te queremos ver.",1,0,1,0
1445,"Lo que hacen esos extranjeros es un asco, váyanse de aquí y dejen de arruinarnos la vida.",0,0,1,0
1447,"Váyanse de vuelta a donde vinieron, no aportan nada bueno aquí.",0,0,1,0
1448,"Ándate de vuelta a tu país, no queremos tu basura aquí. No tienes lugar acá.",0,0,1,0
1449,"Este país estaría mejor sin esos invasores, dejen de arruinarnos la vida.",0,0,1,0
1450,"Si mi hijo se junta con extranjeros o dice que le gustan los hombres, lo mando lejos de aquí sin pensarlo.",1,1,1,0
1451,"No entiendo cómo hay gente que dice estar orgullosa de ser chilena y al mismo tiempo celebra el matrimonio igualitario. Además, no entiendo cómo llenan el país con extranjeros. ¡Es una locura!",0,1,1,0
1452,"Si mi hijo llegara con un extranjero gay a la casa, de una los mando de vuelta para donde vinieron.",0,1,1,0
1453,"Si mi hijo se mezcla con extranjeros o sale gay, mejor que se busque otro lugar donde estar.",0,1,1,0
1454,"Acá no caben, vienen a cambiar todo y encima quieren imponer su estilo de vida. Que regresen a donde pertenecen.",0,0,1,0
1455,"No aceptamos extranjeros ni toda esa cosa de la diversidad, primero en nuestra casa y con nuestras costumbres.",0,1,1,0
1456,"No quiero gente de afuera o de adentro con esas ""ideas modernas"". En mi casa se respetan las tradiciones y punto.",0,1,1,0
1457,"Que se devuelvan a donde pertenecen, esos extranjeros y los que promueven cosas contranaturales no son bienvenidos aquí.",0,1,1,0
1458,"Ojalá se fueran todos esos que vienen de afuera y que no traigan su forma de ""vivir"" a nuestro país.",0,0,1,0
1459,"Acá necesitamos solo a nuestra gente, a los demás y a esos con estilos de vida raros, mejor que se queden lejos.",0,0,1,0
1460,"No tengo problema si eres gay, pero hazlo en tu país. Aquí no necesitamos más de eso.",0,1,1,0
1461,"No quiero ni imaginar si mi hijo me sale con alguna tontera rara o hablando raro como esos extranjeros, los dos se van pa' fuera de la casa.",0,0,1,0
1462,No quiero que mi familia se mezcle con extranjeros ni con homosexuales. Cada uno debería quedarse en su lugar.,0,1,1,0
1463,"Los extranjeros vienen a cambiar nuestras costumbres, no quiero que mi hijo crezca viendo eso.",0,0,1,0
1464,"No quiero en mi barrio ni a extranjeros ni a parejas del mismo sexo, busquen otro lugar.",0,1,1,0
1465,"Si mi hijo sale gay y encima quiere traer amigos extranjeros a la casa, mejor cambio la cerradura.",0,1,1,0
1466,Prefiero una sociedad sin inmigrantes y sin propaganda LGBT. No deberíamos aceptar lo que no es natural ni de aquí.,0,1,1,0
1467,No acepto que en mi país quieran imponer esas relaciones raras y encima vengan extranjeros a decirnos cómo vivir.,0,0,1,0
1468,No quiero que en mi barrio haya extranjeros ni que mis hijos terminen siendo influenciados por ellos.,0,0,1,0
1469,"Estos no son valores que queremos en nuestra comunidad, mejor que busquen otro lugar lejos de acá.",0,0,1,0
1470,No mezclemos lo que no nos gusta con lo de afuera. Que se queden en su país y dejen su decadencia allá.,0,0,1,0
1471,"No quiero que se me junten los fletos y los extranjeros, que se vayan a sus países, aquí no caben.",0,1,1,0
1472,"No te queremos ni a ti ni a tus maricadas, váyanse todos de vuelta a donde vinieron.",0,1,1,0
1473,"Este lugar estaría mucho mejor sin tantos extranjeros y fletos, ya estamos hartos de soportarlos.",0,1,1,0
1474,No quiero ver a esos extranjeros fleteros dando jugo en mi país.,0,0,1,0
1475,No aceptamos fletos ni extranjeros. Cuídense de no venir a arruinar nuestro país.,0,1,1,0
1476,No caigamos en divisiones ni en prejuicios infundados. La diversidad es nuestra fortaleza.,0,0,0,1
1477,"No entiendo cómo permiten que esos fletos extranjeros vengan a meter ruido, mejor que se devuelvan a su país.",0,1,1,0
1478,"No tienes cabida en este país, vuelvan a donde pertenecen y deja de andar con tus mariconadas.",0,1,1,0
1479,"No queremos a esos extranjeros fleto acá, que se devuelvan a su país mejor.",0,1,1,0
1481,"Dejen de traer su cultura y sus cosas raras, ya estamos llenos de degenerados acá.",0,0,1,0
